Reviewer Name,Rating,Review,Date,Review_english,Sentiment,Nouns,staff_filtered,staff_sentiment,cuisine_filtered,cuisine_sentiment,cleanliness_filtered,cleanliness_sentiment
Arijit Mallick,4,Cool,il y a un an,cool,Positive,cool,,Neutral,,Neutral,,Neutral
Agri Zabala,5,Tre bonne café,il y a 4 ans,very good coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Guy Bilodeau,5,Beau,il y a un an,beau,Positive,beau,,Neutral,,Neutral,,Neutral
Mahmoud Sallam,5,Beat place to get a drink and a treat.,il y a 4 ans,beat place to get a drink and a treat,Positive,place drink treat,,Neutral,,Neutral,,Neutral
Alexander Nachaj,4,It's functioning a Tim Hortons.,il y a 6 ans,its sanctioning a tim portions,Positive,tim portions,,Neutral,portions,Neutral,,Neutral
TITUS,5,Il sont vraiment ordonné,il y a 7 ans,they are really orderly,Negative,,,Neutral,,Neutral,,Neutral
Pear Prabhnoor,4,Great cafe and internet,il y a 5 ans,great cafe and internet,Positive,cafe internet,,Neutral,,Neutral,,Neutral
Andrew Rank,,Ads holdd,il y a 5 ans,as hold,Negative,hold,,Neutral,,Neutral,,Neutral
alex Stumpo,4,quite good place.,il y a 6 ans,quite good place,Positive,place,,Neutral,,Neutral,,Neutral
Richard Beland,5,Services rapide et courtois,il y a 5 ans,fast and courteous services,Positive,services,,Neutral,,Neutral,,Neutral
Jean-Francois Dupont,4,Rapide et propre,il y a 4 ans,fast and clean,Positive,,,Neutral,,Neutral,clean,Positive
James Collom,3,So crowded it's crazy,il y a 7 ans,so crowded its crazy,Negative,crazy,,Neutral,,Neutral,,Neutral
morgen,5,Cheep but good food and drinks,il y a 5 ans,cheek but good food and drinks,Positive,cheek food drinks,,Neutral,food drinks,Neutral,,Neutral
Nicole Beaulieu,2,Service à la clientèle à revoir...,il y a 4 ans,customer service to be reviewed,Positive,customer service,service,Neutral,,Neutral,,Neutral
Girish Kini,5,"When in Canada, do it the Canadian way",il y a 4 ans,when in canada do it the canadian way,Positive,canada way,,Neutral,,Neutral,,Neutral
Richard Bachand,3,Ses du Tim rien de spécial,il y a 4 ans,its just tim nothing special,Negative,tim nothing,,Neutral,,Neutral,,Neutral
Jessica Di Raddo,,"Aucun service en français,",il y a 2 ans,no service in French,Negative,service,service,Neutral,,Neutral,,Neutral
Benamar Salem,5,Bien placé,il y a 3 ans,well put,Positive,,,Neutral,,Neutral,,Neutral
David Oancia,2,Barely qualifies as food.,il y a 4 ans,barely qualities as food,Negative,qualities food,,Neutral,food,Neutral,,Neutral
Drew,5,"Fast, even with a line",il y a 4 ans,fast even with a line,Positive,line,,Neutral,,Neutral,,Neutral
Mike Mike,3,Bof,il y a 2 ans,of,Negative,,,Neutral,,Neutral,,Neutral
Lynn Lalynzy,5,Timmies coffee #1,il y a 5 ans,times coffee 1,Negative,times,,Neutral,coffee,Neutral,,Neutral
Botelho,5,Fye,il y a 2 ans,eye,Positive,eye,,Neutral,,Neutral,,Neutral
Abdel Kiki,5,I like tim hortons,il y a 3 ans,i like tim portions,Positive,i tim portions,,Neutral,portions,Neutral,,Neutral
Raouf Kouicem,5,Excellant,il y a 4 ans,excellent,Positive,excellent,,Neutral,,Neutral,,Neutral
Younesse KARDACH,5,Excellent service,il y a 4 ans,excellent service,Positive,service,service,Neutral,,Neutral,,Neutral
Vpn Eighty,,Employee 0/5,il y a 3 ans,employee 05,Positive,employee,employee,Neutral,,Neutral,,Neutral
Ethan 001,3,Bof,il y a 5 ans,of,Negative,,,Neutral,,Neutral,,Neutral
Smirnovitch Sergeï,3,Pas mauvais ...,il y a 6 ans,not bad,Positive,,,Neutral,,Neutral,,Neutral
Mahmut Nanus,5,Delicious,il y a 2 ans,delicious,Positive,,,Neutral,,Neutral,,Neutral
Mwansa Bwalya,3,good service,il y a 7 ans,good service,Positive,service,service,Neutral,,Neutral,,Neutral
Simon Rancourt,,101 ou 401,il y a 2 ans,101 or 401,Positive,,,Neutral,,Neutral,,Neutral
Abdessadek Mouad,5,Super,il y a 5 ans,super,Positive,super,,Neutral,,Neutral,,Neutral
Rita Abi Rached,5,Good coffee,il y a 4 ans,good coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Gizelle SL,3,Good chocolate,il y a 5 ans,good chocolate,Positive,chocolate,,Neutral,chocolate,Neutral,,Neutral
Leilani Lalut,4,Like the coffee,il y a 6 ans,like the coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
mak saafi,5,Chaleureux,il y a 6 ans,warm,Positive,warm,,Neutral,,Neutral,,Neutral
Mayra Ivette Quiroga Lomas,4,"Mon préféré est le wrap au chocolat chaud et au poulet. Les prix sont abordables et les portions sont de bonne taille. Chaque fois que je visite Montréal, je vais chez un Tim Hurtons car il n'y a pas de succursales au Mexique 😪…",il y a 10 mois,my favorite is the hot chocolate and chicken wrap the prices are unfordable and the portions are a good size every time i visit montreal i go to a tim hurts because there are no branches in mexico,Positive,favorite chocolate chicken prices portions size time montreal i tim branches mexico,,Neutral,chocolate portions,Neutral,,Neutral
Dragon M.,3,Restauration rapide canadienne. Le goût est bof. J'étais reconnaissant d'avoir un café chaud par une matinée froide.,il y a un an,Canadian fast food the taste is me I was grateful to have hot coffee on a cold morning,Positive,food taste coffee morning,,Neutral,food taste coffee,Neutral,,Neutral
Javier Graniel Alamilla,5,"Bon service, bons prix et tout est très délicieux",il y a 2 semaines,good service good prices and everything is very delicious,Positive,service prices everything,service,Neutral,,Neutral,,Neutral
Aslan Mendoza,3,"L'un des cafés les plus emblématiques du Canada et bien qu'il ne puisse pas être considéré comme le meilleur, c'est un incontournable si vous venez dans ce pays. Indispensable pour les locaux.",il y a 2 ans,one of the most ironic cases in canada and although it cannot be considered the best it is a must if you come to this country essential for local,Positive,cases canada country,,Neutral,,Neutral,,Neutral
Marco Abel,4,"Très bon marché, très doux et écoeurant.

Il existe de nombreuses succursales",il y a 4 mois,"very cheap very sweet and closing

there are many branches",Negative,closing branches,,Neutral,,Neutral,,Neutral
Juan C. Pinedo,5,"Merci pour votre attention.
Mon endroit préféré pour prendre un café de bonne qualité à un prix raisonnable. Mon préféré.",il y a 10 mois,"thank you for your attention
my favorite place to get good quality coffee at a reasonable price my favorite",Positive,thank attention place quality coffee price,,Neutral,coffee,Neutral,,Neutral
고양이스케치북CAT SKETCHBOOK,3,"Je suis allé prendre le petit déjeuner et il y avait beaucoup de monde. Le café était bon, mais il faisait trop chaud, j'ai donc dû attendre un peu avant de le boire.",il y a 4 ans,I went to have breakfast and there were a lot of people the coffee was good but it was too hot so I had to wait a bit before drinking it,Negative,breakfast lot people coffee bit,,Neutral,breakfast coffee,Neutral,,Neutral
Noé Fonseca,5,Je suis allé dans plusieurs unités à Toronto et à Montréal et elles sont toutes géniales... il y a une carte de fidélité où après un certain nombre d'achats on obtient un café ou un beignet gratuit... Je me méfie parce que j'adore ça et en…,il y a 4 ans,I have been to several units in Toronto and Montreal and they are all great there is a loyalty card where after a certain number of purchases you get a free coffee or dont I am wary because I love it and in,Positive,units loyalty card number purchases coffee dont,,Neutral,coffee,Neutral,,Neutral
luigy Diaz,5,"Bon endroit pour sortir, économique et recommandé. La vanille française et les beignets à l'érable à mon goût sont une très bonne combinaison, ils vendent une variété de produits à goûter et pourquoi ne pas manger quelque chose comme des…",il y a 4 ans,good place to hang out economical and recommended the French vanilla and the male donets for my taste are a very good combination they sell a variety of products to taste and why not eat something like,Positive,place vanilla donets taste combination variety products taste something,,Neutral,vanilla taste taste,Neutral,,Neutral
Edith Amador,5,"J'adore cet endroit, chaque fois que j'en vois un, j'y vais pour l'acheter.",il y a 10 mois,I love this place every time I see one I go there to buy it,Positive,place time,,Neutral,,Neutral,,Neutral
Sergio maldonado,5,"Endroit très central
Excellente connexion Wi-Fi
Bon café",il y a 9 mois,"very central location
excellent wife connection
good coffee",Positive,location wife connection coffee,,Neutral,coffee,Neutral,,Neutral
Jorge Sánchez Mtz,5,"Bonne adresse, idéale pour emporter ou sur un coup de tête. De bonnes boissons, du café et du chocolat chaud, ainsi que des frappés sont recommandés.
Ils ont des petits déjeuners complets et de très délicieux muffins et beignets. 🍩☕️…",il y a 7 ans,"good address ideal for take away or on a whim good drinks coffee and hot chocolate as well as wrapped are recommended
they have full breakfasts and very delicious puffing and donets",Positive,address ideal whim drinks coffee chocolate breakfasts puffing donets,,Neutral,drinks coffee chocolate,Neutral,,Neutral
Bibiana Campos,4,Pas cher et fonctionnel. Avez-vous une connexion Wi-Fi ?,il y a 2 ans,cheap and functional do you have a wife connection,Negative,cheap wife connection,,Neutral,,Neutral,,Neutral
Lisa Montoya,,Bon café américain mais personnel très intolérant,il y a un an,good American coffee but very intolerant staff,Negative,coffee staff,staff,Neutral,coffee,Neutral,,Neutral
LUIS ANDRES MORELO,4,"Bon service, superbe vue sur la rue et bon espace pour partager une conversation avec des amis, travailler ou déguster un produit Tim Horton's.",il y a 7 ans,good service superb street view and good space to share a conversation with friends work or taste a tim portions product,Positive,service street view space share conversation friends tim portions product,service,Neutral,taste portions,Neutral,,Neutral
Yani Tenorio,4,"Il me semble super bon marché, meilleur que les autres cafés",il y a 2 ans,it seems super cheap to me better than other coffee,Negative,cheap coffee,,Neutral,coffee,Neutral,,Neutral
Juarez Simioni,5,J'adore ton cappuccino à la vanille.,il y a 10 mois,I love your vanilla cappuccino,Positive,vanilla cappuccino,,Neutral,vanilla cappuccino,Neutral,,Neutral
Fábio J. C.,2,"Je n'ai pris que du café et je n'ai pas aimé ça. En fait, je n'ai aimé le café dans aucune des unités.",il y a 6 ans,I only had coffee and I didn't like it in fact I didn't like the coffee in any of the units,Negative,coffee fact coffee units,,Neutral,coffee coffee,Neutral,,Neutral
Rude Pires,5,Excellent pour manger et se reposer. Avec internet gratuit. Et de délicieuses gourmandises.,il y a 4 ans,excellent for eating and relaxing with free internet and delicious treats,Positive,excellent internet treats,,Neutral,,Neutral,,Neutral
Alberto Gomez Trigos,3,"Le café américain est bon, mais ils ont la possibilité de prendre un latte.",il y a un an,American coffee is good but they have the option of having a late,Negative,coffee option,,Neutral,coffee,Neutral,,Neutral
silvana trotta arnoni,4,Super endroit pour prendre un café et un beignet. Pas cher et honnête !,il y a 6 ans,great place for cheap and honest coffee and dont,Positive,place cheap coffee dont,,Neutral,coffee,Neutral,,Neutral
Ettore Luciano,4,Le meilleur café expresso bu dans une chaîne de restauration rapide,il y a 6 ans,the best express coffee drunk in a fast food chain,Positive,coffee drunk food chain,,Neutral,express coffee food,Neutral,,Neutral
Mayra Mejía,4,Personnel intolérant à la succursale que j'ai visitée au centre-ville de Montréal,il y a un an,intolerant staff at the branch I visited in downtown Montreal,Negative,staff branch downtown,staff,Neutral,,Neutral,,Neutral
Diana Hazel González P,5,"Bon endroit, bons prix et délicieux café et pains.",il y a 6 ans,good place good prices and delicious coffee and bread,Positive,place prices coffee bread,,Neutral,coffee,Neutral,,Neutral
Abner Rodriguez,4,Ils doivent être gentils,il y a un an,they must be nice,Positive,,,Neutral,,Neutral,,Neutral
Simon Bruckmeier,5,"Vraiment recommandé, bon petit déjeuner relativement bon marché !",il y a 5 ans,really recommended good relatively cheap breakfast,Positive,breakfast,,Neutral,breakfast,Neutral,,Neutral
lee penny,5,Les serveurs sont si beaux et leur attitude de service est excellente,il y a 4 ans,the waters are so beautiful and their service attitude is excellent,Positive,waters service attitude,service attitude,Neutral,,Neutral,,Neutral
Evelin Ponce Alvarez,5,"Les prix sont abordables, le goût de leurs produits est excellent.",il y a 6 ans,the prices are unfordable the taste of their products is excellent,Positive,prices taste products,,Neutral,taste,Neutral,,Neutral
Manuel Bayardo,5,Si vous venez au Canada et que vous ne buvez pas de café chez Tim Hortons. Vous n'avez pas visité le Canada,il y a 5 ans,if you come to canada and you don't drink coffee at tim portions you haven't visited canada,Positive,coffee portions canada,,Neutral,coffee portions,Neutral,,Neutral
Elias Ricardo,3,La renommée l'emporte sur la nourriture,il y a 8 mois,fame troops food,Positive,fame troops food,,Neutral,food,Neutral,,Neutral
Ana,4,Restauration rapide à bon prix.,il y a 5 ans,fast food at good prices,Positive,food prices,,Neutral,food,Neutral,,Neutral
Adriano Alex,5,Bonne nourriture à un prix raisonnable.,il y a 6 ans,good food at a reasonable price,Positive,food price,,Neutral,food,Neutral,,Neutral
Franjacate,5,Très bonne,il y a 4 ans,very good,Positive,,,Neutral,,Neutral,,Neutral
Martha Arellano,4,Bon café,il y a 5 ans,good coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Steffen Gärtner,5,Super bon café et petit déjeuner,il y a 4 ans,super good coffee and breakfast,Positive,coffee breakfast,,Neutral,coffee breakfast,Neutral,,Neutral
Oscar Gomez,5,Tout est délicieux,il y a un an,everything is delicious,Positive,everything,,Neutral,,Neutral,,Neutral
Félix Paisano Morales,5,Mieux qu'un Starbucks avec d'autres boissons aromatisées,il y a 6 ans,better than Starbucks with other favored drinks,Positive,Starbucks drinks,,Neutral,drinks,Neutral,,Neutral
Hector Quisquinay,4,J'aime l'attention,il y a 7 ans,I like attention,Positive,attention,,Neutral,,Neutral,,Neutral
Román Toledo Oliver,4,Boire du café et du pain,il y a un an,drink coffee and bread,Positive,coffee bread,,Neutral,coffee,Neutral,,Neutral
Toni Catala,5,Restauration rapide à bon prix,il y a 6 ans,fast food at good prices,Positive,food prices,,Neutral,food,Neutral,,Neutral
Cristi De la A a la Z,4,"Riche, chaud et économique 😊…",il y a 6 ans,rich warm and economical,Positive,warm,,Neutral,,Neutral,,Neutral
Carlos Souza,3,Super café,il y a 4 ans,super coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Gloria Maria Estrada Ruiz,5,Goût délicieux,il y a 5 ans,delicious taste,Positive,taste,,Neutral,taste,Neutral,,Neutral
Trizia garcia,4,Plus de variété au petit-déjeuner,il y a 6 ans,more variety at breakfast,Positive,variety breakfast,,Neutral,breakfast,Neutral,,Neutral
Jola Gurgul,5,Café délicieux,il y a 4 ans,delicious coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
Polo Gonzalez,5,Délicieux,il y a 5 ans,delicious,Positive,,,Neutral,,Neutral,,Neutral
Juan Olivares,5,🐅…,il y a un an,nan,Positive,nan,,Neutral,,Neutral,,Neutral
Andrey LS,4,Super Double Double,il y a 5 ans,super double double,Positive,,,Neutral,,Neutral,,Neutral
J Gpe Mendoza,4,Bon endroit,il y a 5 ans,good place,Positive,place,,Neutral,,Neutral,,Neutral
Diverti Juegos,5,Le meilleur du meilleur,il y a 6 ans,the best of the best,Positive,,,Neutral,,Neutral,,Neutral
rené kenter,3,Bon café,il y a 5 ans,good coffee,Positive,coffee,,Neutral,coffee,Neutral,,Neutral
